model,avg_train_loss,avg_valid_loss,valid_accuracy,valid_mrr,train_ops_per_sample,train_ops_per_layer
ann_sentence_imdb,0.29895619907602666,0.32740173998573224,0.8588822355289422,0.9284431137724551,164096.0,[0.0, 131072.0, 32768.0, 256.0]
snn_sentence_rate_imdb_10,2.211789905488491,2.2016765512749106,0.8211576846307386,0.9095808383233533,3496.1745966911317,[2312.31, 858.197, 318.588, 7.08]
snn_sentence_rate_rand_imdb_10,3.6672398562431336,3.6574249967129644,0.5145708582834332,0.7562874251497006,3015.5337756156923,[2299.929, 491.06, 216.691, 7.853]

ann_sentence_emotion,0.9685375981032849,1.029198916100744,0.617412935323383,0.7663349806372799,164608.0,[0.0, 131072.0, 32768.0, 768.0]
snn_sentence_rate_emotion_10,5.031574777364731,5.000746063332059,0.4935323383084577,0.6738805970149254,2947.2881191539764,[2303.211, 485.901, 148.401, 9.775]
snn_sentence_rate_rand_emotion_10,5.729174736142158,5.68567136864164,0.33930348258706466,0.5761691542288558,2957.579261550903,[2304.511, 532.916, 110.306, 9.847]

ann_word_imdb,0.3897072662077844,0.3955758749367948,0.820558882235529,0.9092814371257485,84224.00390625,[0.0, 51200.004, 32768.0, 256.0]
snn_word_rate_imdb_10,3.0587699173688887,3.0277843457496094,0.7099800399201597,0.8539920159680638,1809.0401399993896,[914.34, 627.535, 259.631, 7.534]
snn_word_rate_rand_imdb_10,3.6674698616266252,3.652095671185476,0.5127744510978044,0.7553892215568863,1630.9656925964355,[886.565, 505.512, 231.039, 7.85]
snn_word_imdb_512,4.416855543494225,4.357682708851591,0.6502994011976048,0.8241516966067864,51449.83146972656,[6766.438, 38008.345, 6351.807, 323.241]

ann_word_emotion,1.1484540477395058,1.1442672472391555,0.5741293532338309,0.7347678198743223,84736.0,[0.0, 51200.0, 32768.0, 768.0]
snn_word_rate_emotion_10,5.324974796772003,5.2622386492899995,0.4562189054726368,0.6466832504145935,1526.149533395767,[914.848, 442.133, 159.462, 9.706]
snn_word_rate_rand_emotion_10,5.659549724459648,5.653581784732306,0.345273631840796,0.5808043117744608,1543.0588042259217,[885.368, 520.115, 127.735, 9.84]
snn_word_emotion_32,5.2988487660884855,5.292137731367083,0.4462686567164179,0.6408789386401326,1728.4805533981323,[545.017, 953.925, 198.331, 31.207]
